s_d2,s_d3,s_d4,s_d5,s_d6,s_d7,s_d8,s_d9,s_d10
-0.333333333,-0.333333333,-0.333333333,-0.333333333,-0.333333333,-0.333333333,-0.333333333,-0.333333333,2.666666667
0.778229707,1.080365946,0.476093468,-0.704984558,-0.677517627,-0.457782181,-1.556459414,-0.43031525,1.492369909
1.239993931,-0.378366728,-0.310935034,-0.412082575,-1.794432306,0.262234366,-0.00749241,1.644584096,-0.24350334
0.225885428,-0.016134673,-0.88740704,-0.693790959,-1.081023121,0.951945734,-0.112942714,2.089440212,-0.475972867
1.105896502,-0.548111969,-0.461058892,-0.199899659,-1.302571974,0.699648808,-0.403023507,1.831338815,-0.722218124
0.581870198,-0.446793188,-0.657201608,-0.306520908,-1.335184294,1.049444465,-0.002597635,1.867699431,-0.750716461
0.566936386,-0.372422647,-0.329724509,-0.521866129,-1.140989128,1.335502867,-0.564564267,1.783833314,-0.756705887
0.025008786,-0.200070285,-0.138685084,-0.834384029,-0.957154431,1.109480671,-0.11822335,2.050720421,-0.936692698
0.412431884,-0.485213981,-0.26686769,-0.557996078,-1.067470758,0.582256777,-0.194085592,2.280505711,-0.703560273
0.516449007,-0.138204664,-0.683749389,-0.596462233,-0.945610858,1.105637311,-0.400066132,1.978508871,-0.836501913
0.214340684,-0.307641923,-0.194167443,-0.284947027,-1.192742864,1.417170169,-0.71615005,1.8029834,-0.738844946
0.761976736,-0.517611019,-0.537604578,-0.457630343,-1.217385572,1.281809261,-0.177720521,1.681680435,-0.817514399
0.345795512,-0.509193392,-0.799889619,-0.218497164,-1.073486069,1.474380866,-0.064599162,1.696677982,-0.851188954
0.370953649,0.276643399,-0.515562698,-0.383528349,-1.326630846,1.464952545,-0.421252449,1.521538695,-0.987113947
0.715277778,-0.555555556,-0.222222222,-0.513888889,-1.263888889,1.506944444,-0.326388889,1.486111111,-0.826388889
0.808252959,-0.057732354,-0.192441181,-0.654300014,-1.09691473,1.250867674,-0.519591188,1.597261799,-1.135402966
0.441817769,0.12841009,0.500581708,-0.674697085,-1.419040321,1.382040803,-0.400465367,1.244924944,-1.203572542
0.60351683,0.25638121,0.562677345,-0.662507197,-1.908111481,0.991491935,-0.60124797,1.256948586,-0.499149258
0.539303727,-0.567347521,0.772282937,-0.159633903,-1.557509163,0.675208266,-0.897401402,1.684784843,-0.489687784
0.388237712,0.181177599,-0.543532797,-0.672945368,-1.527068335,1.449420792,-0.077647542,1.475303306,-0.672945368
0.836955081,-0.053598109,-0.461768321,-0.239130023,-1.111130022,1.337891251,-0.888491724,1.523423165,-0.944151299
0.25064407,0.073221863,0.681526572,-0.88992726,-0.991311378,1.36586937,-0.991311378,1.41656143,-0.915273289
0.744243089,0.184332654,0.16359523,-0.914750793,-1.184337299,1.158991559,-0.230415817,1.407840641,-1.329499264
-0.21765033,0.615904124,0.845131599,-0.446877804,-1.530498595,0.865970461,-0.926171616,1.491136301,-0.696944141
0.004387176,0.418975271,0.34000611,-0.350974049,-1.673707498,1.406089785,-1.14066566,1.208666882,-0.212778017
0.627800603,0.170798694,0.91862,-0.784750754,-1.636436132,0.752437488,-0.348521658,1.313303468,-1.013251709
0.554399016,-0.216350835,1.142602849,-0.763988887,-1.57530452,0.716662142,-0.439462634,1.385997539,-0.804554669
0.094922286,-0.009260711,0.761693465,-1.134437076,-1.551169063,1.011732658,-0.134280307,1.532647642,-0.571848893
0.334115161,0.175850085,0.967175467,-1.208969334,-0.773740373,1.145223678,-0.160463202,1.06609114,-1.545282621
0.938634246,-0.366591058,0.467302887,-0.529744221,-1.23674126,1.029274892,-0.801666159,1.500606252,-1.00107558
0.497663357,-0.078469741,1.761439185,-0.561678146,-1.435170262,0.218889277,-0.580263084,1.055211516,-0.877622103
0.202503437,1.132366157,0.276892455,-0.876137319,-1.47124946,0.59304578,-0.83894281,1.5229085,-0.54138674
0.814440961,0.673091703,0.228851179,-1.083677642,-0.397124105,0.471164192,-1.002906638,1.601958253,-1.305797904
0.836180529,0.630562366,0.589438733,-0.705955692,-1.631237425,0.466067836,-0.767641141,1.391349568,-0.808764774
0.566378727,0.113946016,1.471244148,-0.413892146,-1.40924411,0.611621998,-0.896487038,1.018811437,-1.062379032
1.275517155,-0.400629327,0.515404216,-0.692980458,-1.433603322,0.924695799,-0.634510232,1.236537005,-0.790430835
1.613781494,-0.447192462,0.36941986,-0.816612322,-1.399906838,0.758282871,-0.855498623,1.030486978,-0.252760957
0.572740459,-0.238308093,1.401812313,-0.905170236,-1.103426549,0.915183182,-0.688890622,1.095416193,-1.049356646
0.756028044,0.053241412,1.490759523,-1.01691096,-1.575945781,0.372689881,-0.330096751,0.963669549,-0.713434914
1.46223395,0,1.22216569,-1.003921817,-1.484058338,0.632907232,-0.807502331,0.218243873,-0.240068261
0.193618917,0,1.239161067,-0.484047292,-1.51022755,0.522771075,-0.6970281,1.568313225,-0.832561342
1.423546881,0.028337584,1.468553633,-0.766781693,-1.111833454,0.253371342,-0.901801947,0.523411851,-0.916804198
0.473900488,0.239554093,1.926848137,-1.104031905,-0.885308603,0.145815535,-0.55722365,0.786362348,-1.02591644
1.108453573,0.197325326,1.216553535,-0.960888546,-1.223417024,0.289982436,-0.945445695,1.108453573,-0.791017178
1.465824747,0.108889838,0.994666793,-0.889965025,-1.587278798,0.50466252,-0.53188498,0.674279384,-0.73919448
0.960928215,0.574512401,0.666516166,-0.603135795,-1.578375707,0.132894328,-0.584735042,1.439347795,-1.007952362
0.762112464,-0.331097703,1.608468723,-0.930600053,-1.459572715,0.744480042,-0.47215708,0.72684762,-0.6484813
1.403912561,-0.163960591,1.237902463,-1.049347783,-1.32603128,0.334069704,-0.459089655,0.813654433,-0.791109852
1.133617831,-0.051645459,0.901213264,-0.609416419,-1.631996513,0.203999564,-0.632656876,1.389262854,-0.702378246
1.038952641,0.242675069,1.402965245,-1.031369045,-1.031369045,-0.030334384,-0.917615106,1.129955792,-0.803861168
0.642891653,-0.047184708,1.562993469,-0.666484008,-1.268089041,0.005898089,-0.029490443,1.138331093,-1.338866104
0.431997029,0.621234665,1.429795475,-0.720632211,-1.477582757,0.070725177,-0.755039054,1.206150996,-0.806649319
1.065037485,0.071002499,1.526553728,-0.67452374,-1.189291858,0.852029988,-0.763276864,0.248508746,-1.136039984
0.69022926,0.100256764,1.47107521,-1.183801021,-1.149096757,-0.420307203,-0.402955071,1.419018814,-0.524419996
0.592182729,0.3850234,0.874672724,-0.83909991,-1.479410564,0.272027402,-0.763769245,1.646812042,-0.688438579
0.381612684,0.534257757,1.618037778,-0.992192977,-1.419599183,0.488464235,-0.381612684,0.763225367,-0.992192977
0.350808559,0.652346253,1.574696845,-0.677967102,-1.263304979,0.49270865,-1.014979819,0.847458878,-0.961767285
0.468564817,-0.197290449,0.443903511,-0.813823103,-1.356371839,1.356371839,-1.085097471,1.405694451,-0.221951755
0.650587174,-0.219593656,2.213962901,-0.780049105,-1.222513934,0.104880552,-0.396579587,0.208122345,-0.558816691
1.228577855,-0.417252857,0.208626428,-0.649059999,-0.834505713,0.32453,-0.394072142,1.808095712,-1.274939284
1.349606064,0.037171353,0.397447549,-1.09512526,-1.223795329,0.448915576,-0.014296674,1.298138036,-1.198061315
1.842854777,-0.212432827,-0.116838055,-0.523115837,-0.642609303,0.886907054,-1.192279243,0.886907054,-0.929393619
1.393925696,-0.459119839,0.350256372,-0.523017961,-0.757311074,0.541950738,-1.140699806,1.543021314,-0.94900544
1.471408151,0.397677879,-0.251034161,-0.8997462,-1.101070626,1.180606202,-1.23528691,0.755587969,-0.318142303
0.931722292,-0.158877501,-0.740530723,0.010771356,-1.273712844,1.222548903,-1.128299538,1.440668861,-0.304290806
1.039124956,-0.143840686,-0.411681964,0.391841869,-1.259846009,0.458802188,-1.639287819,1.440886872,0.124000591
1.325629014,0.081673826,-0.116228136,-0.738205731,-1.077466237,0.760194838,-1.501541869,1.297357305,-0.03141301
0.768701668,0.290708994,-0.640118843,-1.143269026,-1.369686608,1.422796905,-0.690433862,1.070591777,0.290708994
1.143834201,-0.275268511,-0.419584041,-0.708215101,-1.141161691,1.095729024,-1.30952981,1.264097143,0.350098786
1.065986479,0.015561846,-0.544664624,-0.638035703,-1.058205556,0.949272631,-1.38500433,1.486156332,0.108932925
1.327643186,0.352231866,-0.9889587,-0.440289832,-0.927995492,0.992345545,-1.202329926,1.236198375,-0.348845021
1.577816272,0.086183242,-0.450804649,-1.047457861,-0.48063731,1.48831829,-1.196621164,0.414342508,-0.391139328
1.351419525,-0.028391166,-0.769400612,-0.718296512,-1.05047316,0.738170329,-1.331545708,0.840378528,0.968138777
1.14587333,0.331700174,0.030154561,-0.814173155,-0.69355491,1.14587333,-1.83942824,0.844327717,-0.150772807
1.13388211,0.489064537,0.236744616,-0.800570611,-1.333245998,0.993704377,-1.445388185,0.937633284,-0.211824131
0.958057224,-0.390863837,0.111675382,-0.62890873,-1.607537735,1.672191904,-0.787605326,0.720012331,-0.047021213
1.24082023,-0.318588978,0.259901535,-0.997686536,-0.494651308,0.913847331,-1.525873526,1.316275514,-0.394044262
0.644128521,0.367058532,-0.97566526,-0.506777586,-1.188796021,1.688469248,-0.954352184,1.02776389,-0.101829141
1.154800508,-0.25831064,-0.600192369,-0.714152946,-1.07882679,1.952524543,-0.303894871,0.493829165,-0.6457766
1.429064857,-0.271442487,0.135721243,-1.397130447,-0.391196525,1.309310819,-1.013917524,0.806343858,-0.606753794
1.394623982,0.190693483,0.703004334,-1.346239069,-0.629003878,1.1640841,-1.371854611,0.139462398,-0.24477074
0.957639676,-0.021764538,0.010882269,-0.90322833,-1.425577244,1.643222625,-1.001168752,0.729112026,0.010882269
0.383288639,0.500224156,-0.376792221,-0.932235926,-1.16610696,1.669579324,-0.844534289,1.231071136,-0.464493859
1.515836541,-0.072528064,-0.660005384,-0.855831157,-1.225724284,1.472319702,-0.507696449,0.689016609,-0.355387514
1.2237443,0.358169063,-0.059694844,-1.193896878,-1.104354612,1.253591722,-1.044659768,0.955117502,-0.388016485
1.430865764,-0.059511596,-0.478680228,-0.897848861,-1.037571738,1.547301495,-0.827987422,0.755538523,-0.432105936
2.019204172,-0.228981916,0.092187525,-0.817792559,-1.05866964,0.547177567,-0.978377279,0.814818768,-0.389566637
1.60941145,0.638912083,-0.088962442,-0.452899705,-0.865361936,0.857274441,-1.690286398,0.469074694,-0.477162189
1.77839894,0.8964053,-0.426585159,-0.685995053,-1.101050883,0.662936396,-1.308578799,0.092234629,0.092234629
1.346608664,-0.220565212,0.249586951,-1.004152151,-1.343706491,1.059293454,-1.213108668,0.693619549,0.432423903
1.645299539,0.03343134,-0.245959147,-0.804740123,-1.105622187,1.322925899,-1.234571643,0.269838676,0.119397644
0.792679526,0.378646024,0.283099831,-1.40488291,-0.640513367,0.760830795,-1.595975296,0.155704907,1.270410491
1.67010353,0.415035668,0.116209987,-0.332028535,-1.706626669,0.295505396,-1.258388147,0.474800805,0.325387964
1.598023893,0.545666695,-0.185136914,0.019488096,-1.617511989,0.428738118,-1.442119123,0.428738118,0.224113107
1.391705458,-0.005088503,0.155199329,-1.172899847,-0.508850259,1.116926318,-1.539272033,0.842147178,-0.279867642
1.386242847,0.026155525,0.209244203,-0.549266034,-1.046221017,1.020065492,-1.778575729,0.653888136,0.078466576
1.542603112,0.056751285,-0.477226715,-0.755823933,-1.382667672,1.055057981,-1.104070455,0.474647111,0.590729285
1.653931696,0.215852103,-0.187819362,-0.894244426,-1.575440023,0.644753034,-0.843785493,0.871818233,0.114934237
1.857158769,0.28930614,0.037329824,-0.410628069,-1.278546489,0.345300877,-1.502525436,0.149319298,0.513285087
1.159217855,0.226388428,-0.902826141,-0.829181713,-1.246500141,1.797469568,-0.362766999,-0.215478142,0.373677285
0.865195507,1.192120527,-0.026418183,-1.363838719,-0.977472787,1.400163721,-1.007193243,0.092463642,-0.175020465
1.326902147,-0.046773916,0.484971657,-0.711455882,-1.376137849,0.61790805,-1.376137849,1.149653623,-0.068929982
1.781818325,0.027840911,-0.003480114,-1.037073947,-1.099715997,0.654261416,-1.099715997,0.936150643,-0.16008524
1.185086751,-0.129035234,0.146013554,-1.076425502,-1.320913313,1.032281869,-1.137547455,1.123964798,0.17657453
1.37913017,0.132112937,-0.157891071,-0.766899487,-1.375907903,0.567118948,-1.317907102,1.176127365,0.364116143
0.990309785,0.89395532,0.243562677,-1.225842923,-1.707615251,0.845778087,-0.840425061,0.388094375,0.412182992
1.59495516,0.09569731,-1.371661438,-0.79747758,-0.478486548,1.371661438,-0.510385651,0.574183858,-0.478486548
1.013493112,0.284783189,0.309911117,-0.494182592,-1.4741718,0.561190401,-1.298276301,1.490923752,-0.393670878
1.895833937,0.31185542,0.061753548,-0.855286646,-1.327701292,0.39522271,-1.160966711,0.145120839,0.534168194
1.010650107,0.125483403,-0.088177526,-1.034390211,-1.431189078,1.865293822,-0.454453404,0.278098352,-0.271315465
0.993284495,0.373199377,0.424873136,-1.538729737,-1.021992139,0.864100095,-1.125339659,1.122468894,-0.091864462
1.040101262,0.914731914,-0.213592223,-1.926973321,-0.882228749,0.998311479,-0.213592223,0.622203434,-0.338961572
1.177617184,0.147202148,-0.824332029,-1.030415036,-1.354259762,1.589783198,-0.117761718,0.647689451,-0.235523437
1.864979269,-0.250753515,-0.391802367,-0.56106099,-0.871368465,1.018686155,-1.379144333,0.539120058,0.031344189
1.636677869,0.499105727,0.061577979,-1.367679328,-1.251005263,1.082476056,0.090746496,-0.084264603,-0.667634933
1.085382707,-0.327662704,-0.235507569,-0.911311896,-1.587116223,1.699750277,-0.41981784,0.317423245,0.378860002
0.721345391,0.183139503,-1.229650951,-1.229650951,-1.061461611,1.595929957,-0.153239176,0.452242447,0.721345391
1.666228229,0.134619049,-0.391157237,-0.391157237,-1.168391746,1.414770005,-0.048259659,0.020319856,-1.236971261
1.185860934,-0.144273882,-0.841011167,-0.777671414,-1.126040056,1.375880194,-0.112604006,1.217530811,-0.777671414
1.375823197,0.214972374,-0.231508711,-0.856582231,-1.392359533,1.643711848,-0.767286014,0.155441563,-0.142212494
1.350843069,-0.014683077,-0.74149538,-1.115913839,-0.807569226,1.505015375,-0.763519995,0.888326148,-0.301003075
